date,user_id,netflow,stay_time(s),pv
2019-11-07,57871790,m4F2Kp2,2084,89
2019-11-07,57871790,rejHQe1,226,16
2019-11-07,58068264,YZRhWmu,3483,58
2019-11-07,58068264,mLjIWaM,488,5
2019-11-07,58068264,dHmz5Tr,365,9
2019-11-07,59040709,bgpGdXm,3,2
2019-11-17,56750324,qE4KE6X,92,2
2019-11-17,57871790,m4F2Kp2,51,6
2019-11-27,20063470,weg7zZg,1138,20
2019-11-27,56750324,KjTGeDy,45,2
2019-11-27,57147667,IZvzuBc,95,6
2019-11-27,57871790,m4F2Kp2,444,7
2019-11-27,58831502,tHQQKOB,14,1
2019-11-21,13120106,nkZd8mT,15,2
2019-11-21,57147667,eYMS0i3,91,2
2019-11-21,57147667,IZvzuBc,26,6
2019-11-11,13120106,nkZd8mT,465,7
2019-11-11,20063470,weg7zZg,303,8
2019-11-11,38489207,FzIpqmX,245,28
2019-11-11,56750324,KjTGeDy,597,20
2019-11-11,56750324,qE4KE6X,88,1
2019-11-11,57147667,IZvzuBc,737,42
2019-11-11,57147667,x0Br3N0,6,1
2019-11-11,57147667,rSL1Cyv,0,1
2019-11-11,57147667,hMJVHXZ,9,1
2019-11-11,57166867,a6uMw05,52,3
2019-11-11,57166867,tSKQDMr,171,2
2019-11-11,57871790,m4F2Kp2,3220,122
2019-11-11,58068264,YZRhWmu,79,7
2019-11-11,58068264,qE4KE6X,358,9
2019-11-11,58831502,iSOyv3m,62,3
2019-11-11,58831502,tHQQKOB,67,2
2019-11-12,20063470,weg7zZg,20,1
2019-11-12,38489207,FzIpqmX,174,8
2019-11-12,56750324,qE4KE6X,61757,5
2019-11-12,56750324,KjTGeDy,0,1
2019-11-12,57147667,IZvzuBc,13388,17
2019-11-12,57147667,m4F2Kp2,2,1
2019-11-12,57147667,rSL1Cyv,1,1
2019-11-12,57871790,m4F2Kp2,54,6
2019-11-12,58068264,YZRhWmu,30,1
2019-11-12,58831502,tHQQKOB,974,15
2019-11-12,58831502,UmxrVca,1137,9
2019-11-12,59040709,bgpGdXm,5428,59
2019-11-02,13120106,nkZd8mT,50,2
2019-11-02,48189697,NKZzeEz,180,3
2019-11-02,57147667,IZvzuBc,188,28
2019-11-02,57147667,Lgb18E3,12,3
2019-11-02,57147667,kixrZhy,28,2
2019-11-02,58068264,mLjIWaM,1974,26
2019-11-22,57147667,IZvzuBc,64,9
2019-11-22,57147667,qAl5b4H,17,1
